FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAILED_DUE_TO_ATTACK,POSITIONING_NO_FAILED_DUE_TO_ATTACK,POSITIONING_MEAN_ERROR_DUE_TO_ATTACK
ValidationData_1.csv,204,907,12,2,7.132489217909107
ValidationData_2.csv,313,798,26,0,7.8561394433339125
ValidationData_3.csv,393,718,51,2,8.329571799735596
ValidationData_4.csv,441,670,59,2,9.619041853414823
ValidationData_5.csv,460,651,81,1,11.237024434247443
ValidationData_6.csv,496,615,92,2,11.734104453565797
ValidationData_7.csv,564,547,114,0,11.46981311222495
ValidationData_8.csv,564,547,139,1,13.280519805097729
ValidationData_9.csv,580,531,153,0,12.736817692069335
ValidationData_10.csv,611,500,152,2,14.018383737432986
